Data_Set,Category,Soil - Street,Soil - Yard,Soil - Dripline,Paint - Exterior,Paint - Interior,Dust - Threshold,Dust - Old dust,Dust - Windowsills,,,Total,Sum,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,2,7,7,1,7,,,PD,ITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,2,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,7,7,7,7,1,,,PD,EITO,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,,,1,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,2,6,1,7,7,,7,,,SPD,DITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,1,7,,,,,D,T,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,5,7,7,7,1,5,,,SPD,DEITW,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,,1,1,,1,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,,,1,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,,,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,2,2,1,,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,,7,,7,1,1,1,,,SP,DI,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,7,7,1,1,1,,,P,EI,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,1,1,,,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,2,6,4,1,1,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,1,,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,2,7,1,,7,1,,,SPD,YEO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,4,7,2,7,1,7,1,1,,,SPD,SYET,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,,2,7,1,7,,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,7,7,7,7,7,1,3,1,,,SPD,SYDEIO,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,2,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,4,3,7,2,1,1,1,1,,,S,SYD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,1,1,3,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,3,1,7,,1,2,2,1,,,S,SD,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,7,6,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,2,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,4,,7,6,1,1,,,SPD,DIT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,4,2,7,7,2,4,,,SPD,DITW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,7,2,5,1,1,7,5,1,,,SD,SDTO,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,7,,3,7,,1,6,,,SPD,YEIW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,1,,,1,,4,,,,D,O,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,4,6,7,1,,1,,,,SP,YDE,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,1,1,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,1,1,,,1,1,2,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,3,,7,7,1,7,1,,,SPD,YEIO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,2,4,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,3,7,7,7,4,3,1,,,SPD,YDEITO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,7,7,1,4,7,2,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,5,6,7,1,1,3,2,,,SPD,YDEO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,3,7,7,1,1,,,PD,EIT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,,,,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,4,5,1,1,1,7,2,1,,,SD,SYT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,5,1,7,4,5,7,,,SPD,DITOW,,,,,,,,,,,,,,,,,,,
SJC Only,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,2,1,5,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,3,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,3,6,1,,1,4,1,,,SD,YDO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,1,1,1,1,2,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,3,,1,5,1,,1,,,SP,YI,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,1,2,,7,1,7,,,,PD,IO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,3,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,,,1,,,7,,,D,W,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,2,5,1,7,1,1,3,,,SPD,DIW,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,2,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,1,2,7,,,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,3,2,1,1,,1,,,S,D,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,1950-1979,,1,1,1,,,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,4,2,,1,,1,1,,,S,Y,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,2,4,5,1,1,7,,1,,,SD,YDT,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,1,7,1,7,2,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,2,2,7,5,6,1,,,PD,ITO,,,,,,,,,,,,,,,,,,,
SJC Only,1989-present,,1,2,,,,1,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,2,1,7,,,,1,,,P,E,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,3,2,,,1,,1,,,S,Y,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,1,,4,1,1,1,7,2,,,SD,DO,,,,,,,,,,,,,,,,,,,
SJC Only,Before 1950,,,,,,4,1,1,,,D,T,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,2,,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,3,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,5,1,,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,,1,,,1,1,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,,,1,1,2,3,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,1,6,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,7,1,1,,,D,T,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,7,1,1,6,1,1,,,SD,DT,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,7,1,7,5,1,,,PD,ETO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,6,7,7,1,3,1,1,,,SP,YDE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,7,1,1,7,1,1,,,SD,DT,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,1,7,7,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,2,2,7,7,1,7,7,1,,,SPD,DETO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,7,1,2,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,2,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,3,7,1,1,7,7,1,,,SD,YDTO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,,,1,1,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,1,7,1,1,1,,,P,I,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,2,5,5,1,1,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,7,5,7,1,7,2,,,SPD,DEIO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,3,2,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,3,1,1,1,1,1,1,,,S,Y,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,3,4,7,1,1,1,2,1,,,S,SYD,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,7,1,5,7,1,,,PD,ETO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,5,,1,5,3,1,,,SD,DTO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,7,3,1,1,1,1,1,,,S,YD,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,5,3,3,1,1,2,1,,,SP,YDE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,7,1,1,,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,2,1,7,,,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,,,7,2,7,1,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,1,1,7,1,1,,,D,T,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,,1,,1,1,3,2,1,,,D,T,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,2,3,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,7,6,1,1,1,2,1,,,S,YD,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,3,1,,1,1,3,,,SD,DW,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,5,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,7,1,1,1,1,2,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,2,5,2,4,2,1,,,PD,ET,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,2,1,1,5,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,3,1,1,,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,2,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,3,7,7,2,2,1,1,,,SP,YDE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,4,1,1,2,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,,,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,2,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,,7,,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,,1,1,1,5,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1989-present,1,1,1,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,7,1,1,1,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,,5,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,6,3,7,6,7,2,2,,,SPD,YDEIT,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,3,7,1,1,2,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,6,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,7,1,1,2,1,,,P,E,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,7,7,7,1,4,3,1,,,SPD,YDETO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,7,1,2,7,1,,,PD,EO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,3,1,2,7,7,5,,,SD,DTOW,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,,1,7,1,,,D,O,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,7,1,1,1,1,1,,,S,D,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,,2,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,,,,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,2,1,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,3,7,1,,,D,TO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,3,2,1,6,3,,1,,,SPD,YIT,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,6,3,5,1,4,,,,,SPD,YDET,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,,,,,,,,,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1989-present,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,1,1,1,1,2,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,2,5,2,,1,1,7,1,,,SD,YO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,1,2,6,1,2,3,1,,,PD,EO,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,7,2,1,1,6,1,1,,,SD,YT,,,,,,,,,,,,,,,,,,,
LIRA/Kit,Before 1950,1,2,3,7,1,1,1,1,,,SP,DE,,,,,,,,,,,,,,,,,,,
LIRA/Kit,1950-1979,1,1,1,1,1,1,1,1,,,No Pb,No Pb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,